id,ORF,pathway
integer,varchar,varchar
primary key,foreign key,
857,YMR306W,sce00500
858,YPR145W,sce01110
859,YOL140W,sce01210
860,YDR503C,sce00564
861,YCL017C,sce00730
862,YMR323W,sce03018
863,YFR025C,sce01110
864,YGL062W,sce01200
865,YPL015C,sce04213
866,YJR137C,sce00920
867,YPR060C,sce01110
868,YDL141W,sce00780
869,YDR416W,sce03040
870,YMR083W,sce00350
871,YOR046C,sce03015
872,YOR095C,sce01230
873,YKL006C-A,sce04130
874,YCL064C,sce01200
875,YLR272C,sce04111
876,YOR251C,sce00920
877,YCL018W,sce01230
878,YGR085C,sce03010
879,YBR045C,sce04113
880,YMR170C,sce01110
881,YOR111W,sce00240
882,YOL058W,sce00250
883,YDR300C,sce01230
884,YDR460W,sce03022
885,YNL271C,sce04011
886,YMR055C,sce04111
887,YOR101W,sce04138
888,YOL061W,sce00230
889,YFL048C,sce04141
890,YMR235C,sce03013
891,YDL131W,sce00300
892,YNCO0010W,sce00970
893,YKL085W,sce00020
894,YCR048W,sce00100
895,YBR093C,sce04111
896,YNCF0014C,sce00970
897,YMR120C,sce00670
898,YEL058W,sce01250
899,YNCO0012C,sce00970
900,YPL220W,sce03010
901,YDL142C,sce00564
902,YOL133W,sce04141
903,YER070W,sce01232
904,YOR157C,sce03050
905,YDL134C,sce04113
906,YNCH0013C,sce00970
907,YOL056W,sce01230
908,YDR379W,sce04011
909,YHR215W,sce00740
910,YNCG0003C,sce00970
911,YOR278W,sce01110
912,YGL055W,sce01040
913,YOR317W,sce00061
914,YJR143C,sce00514
915,YBR082C,sce04120
916,YPL028W,sce00650
917,YLR089C,sce01210
918,YDL042C,sce04213
919,YKL113C,sce03410
920,YBR208C,sce00791
921,YGL026C,sce00260
922,YFR021W,sce04138
923,YJR049C,sce00760
924,YNCB0001W,sce00970
925,YPL281C,sce01230
926,YML065W,sce04113
927,YFR052W,sce03050
928,YNR001C,sce01210
929,YOR336W,sce04141
930,YLL058W,sce01110
931,YKL035W,sce00520
932,YNCF0002W,sce00970
933,YBR249C,sce01230
934,YGL022W,sce04141
935,YNCM0036C,sce00970
936,YBR256C,sce00740
937,tI_GAU_Q,sce00970
938,YPL234C,sce00190
939,YHR046C,sce00562
940,YIL020C,sce01110
941,YIL160C,sce04146
942,YDR294C,sce00600
943,YFL017C,sce01250
944,YJL136C,sce03010
945,YDL226C,sce04144
946,YDL021W,sce00680
947,YNCD0011W,sce00970
948,YPL061W,sce00561
949,YOR393W,sce00680
950,YNL104C,sce01210
951,YNCG0038C,sce00970
952,YGL148W,sce01110
953,YFL030W,sce00250
954,YFR004W,sce03050
955,YHR171W,sce04136
956,YLR328W,sce01240
957,YCR034W,sce00062
958,YGL103W,sce03010
959,YDL136W,sce03010
960,YLL058W,sce00270
961,YOR074C,sce01232
962,Q0130,sce00190
963,YJL034W,sce04141
964,YDR012W,sce03010
965,YDR328C,sce04141
966,YER177W,sce04011
967,YNL256W,sce00790
968,YOR388C,sce01200
969,YIL162W,sce00052
970,YDL171C,sce00250
971,YMR139W,sce04113
972,YNL113W,sce03020
973,YHR039C-A,sce00190
974,YMR035W,sce03060
975,YER065C,sce01110
976,YLR446W,sce00500
977,YBR092C,sce00730
978,YOR224C,sce03020
979,tR_UCU_Q1,sce00970
980,YCL018W,sce00660
981,YOR202W,sce01110
982,YPR165W,sce04144
983,YBR011C,sce00190
984,YFL017C,sce00520
985,YNCL0037W,sce00970
986,YKL085W,sce00620
987,YDR538W,sce00900
988,YPL076W,sce00563
989,YCL032W,sce04011
990,YDL022W,sce01110
991,YIL116W,sce00360
992,YJL071W,sce01210
993,YNR001C,sce01110
994,YLL009C,sce00190
995,YML064C,sce04111
996,YOR207C,sce03020
997,YNCG0008W,sce00970
998,YMR028W,sce04136
999,YHL018W,sce00790
1000,YDL101C,sce04111
1001,YBR274W,sce04113
1002,YER154W,sce03060
1003,YDL195W,sce04141
1004,YLR425W,sce04011
1005,YER081W,sce01230
1006,YPR103W,sce03050
1007,YLR344W,sce03010
1008,tM_CAU_Q1,sce00970
1009,YJR148W,sce01210
1010,YML126C,sce00280
1011,YFL044C,sce04141
1012,YER043C,sce00270
1013,YDR394W,sce03050
1014,YGR070W,sce04011
1015,YNCD0003W,sce00970
1016,YJR066W,sce04136
1017,YGR063C,sce03250
1018,YGL135W,sce03010
1019,YPR026W,sce00500
1020,YDR244W,sce04146
1021,YKR089C,sce00590
1022,YOR127W,sce04011
1023,YJR066W,sce04213
1024,YML110C,sce01110
1025,YER073W,sce00071
1026,YER073W,sce01240
1027,YLR056W,sce01110
1028,YMR318C,sce00040
1029,YFL058W,sce00730
1030,YOR249C,sce04120
1031,YBL037W,sce04144
1032,YPL206C,sce00564
1033,YDR516C,sce00520
1034,YJL074C,sce04111
1035,YBR263W,sce00670
1036,YKL088W,sce00770
1037,YMR190C,sce03440
1038,YCR012W,sce01200
1039,YPR178W,sce03040
1040,YOR106W,sce04138
1041,YGR109C,sce04111
1042,YDR178W,sce01200
1043,YNCO0008W,sce00970
